City,Latitude,Longitude,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
Mackay,-21.15,149.2,86.68,89.01,70,1008,14.99,95
Jérémie,18.65,-74.12,76.5,80.78,76,1013,4.52,29
Faanui,-16.48,-151.75,80.58,82.11,74,1014,12.21,100
Basco,20.45,121.97,78.03,82.22,84,1012,8.72,100
Souillac,-20.52,57.52,84.2,87.17,62,1015,8.05,40
Chui,-33.7,-53.46,60.17,59.07,87,1018,5.46,47
Qaanaaq,77.48,-69.36,-3.12,-11.54,87,1012,3.36,99
Bluff,-46.6,168.33,59.0,50.16,73,1003,15.99,0
Tilichiki,60.47,166.1,9.59,1.78,96,1006,3.47,100
Zabul Province,32.25,67.25,49.15,36.86,67,1019,17.45,15
Cherskiy,68.75,161.3,-16.26,-23.55,89,1008,0.81,91
Yangi Marg`ilon,40.43,71.72,37.4,31.89,69,1027,2.51,62
Yaan,7.38,8.57,79.03,84.31,78,1013,5.64,0
Codrington,-38.27,141.97,59.09,49.98,67,1019,15.46,45
Fortuna,40.6,-124.16,54.0,49.59,45,1063,1.79,95
Cape Town,-33.93,18.42,63.46,63.57,100,1015,8.05,75
Plouzané,48.38,-4.62,39.76,33.53,86,1004,5.82,0
Poya,-21.35,165.15,83.7,90.28,63,1011,1.63,35
Zaoyang,32.13,112.75,49.91,43.52,49,1026,4.88,12
Kutum,14.2,24.67,72.45,60.39,21,1018,14.65,96
Macia,-25.03,33.1,77.05,78.89,64,1022,5.3,100
Longyearbyen,78.22,15.64,21.2,3.2,67,1014,21.92,20
Monte Patria,-30.69,-70.95,56.82,55.31,66,1017,0.85,0
Jinka,5.65,36.65,75.65,75.58,56,1015,5.19,0
Ilulissat,69.22,-51.1,21.2,3.49,79,1012,21.92,100
Tasiilaq,65.61,-37.64,19.4,12.16,57,1014,2.24,0
Grand Gaube,-20.01,57.66,84.99,89.17,63,1014,7.0,0
Nālūt,30.33,10.85,44.92,34.99,56,1022,10.85,0
Bonthe,7.53,-12.51,76.71,83.93,86,1013,2.77,1
La Ronge,55.1,-105.28,41.0,33.42,56,1005,5.82,58
Mossamedes,-15.2,12.15,70.59,67.77,62,1014,8.9,13
Humboldt,40.67,-123.92,45.41,40.23,55,1026,2.39,90
Saint George,37.1,-113.58,45.79,34.84,23,1029,9.17,1
Paamiut,61.99,-49.67,28.15,17.73,80,1010,10.11,0
Lākheri,25.67,76.17,82.31,78.6,26,1017,4.09,0
Porto-Novo,6.5,2.6,77.0,84.79,94,1011,4.7,40
Ous,60.91,61.52,22.39,15.33,95,1026,3.85,76
São Filipe,14.9,-24.5,74.5,75.31,77,1016,9.37,100
Kendari,-3.94,122.5,86.88,92.95,67,1006,7.18,98
Port Blair,11.67,92.75,82.36,83.01,68,1012,13.04,4
Lompoc,34.64,-120.46,63.39,54.43,22,1018,7.74,1
Saint-Philippe,-21.36,55.77,81.88,85.55,70,1014,8.05,0
Meadow Lake,34.8,-106.54,37.0,30.29,28,1023,1.34,81
Christchurch,-43.53,172.63,75.16,64.56,25,1001,13.87,100
Creston,41.06,-94.36,24.8,17.02,100,1018,5.82,90
Puerto Ayora,-0.74,-90.35,73.0,76.24,91,1014,8.01,79
Port Lincoln,-34.73,135.87,60.96,53.94,58,1021,10.85,0
Tautira,-17.73,-149.15,75.2,81.41,83,1014,2.24,75
Atuona,-9.8,-139.03,78.67,76.48,76,1013,17.87,19
Pacific Grove,36.62,-121.92,59.77,50.43,23,1022,8.05,1
Lüderitz,-26.65,15.16,65.44,64.6,69,1016,4.25,8
George Town,5.41,100.34,88.25,94.5,62,1009,5.82,20
Thunder Bay,48.4,-89.32,26.73,17.04,92,1014,9.17,90
Beltinci,46.61,16.24,33.53,26.91,100,1009,5.82,90
Tommot,58.96,126.29,7.45,0.36,93,1005,1.9,100
Sitka,57.05,-135.33,44.6,35.78,81,1004,11.41,90
Portland,45.52,-122.68,41.13,34.56,75,1026,5.82,75
Solton,52.84,86.48,18.7,6.04,95,1026,13.2,100
Byron Bay,-28.65,153.62,82.26,81.95,57,1010,10.29,100
Muros,42.78,-9.06,42.91,32.11,94,1014,15.7,42
Ponta do Sol,32.67,-17.1,56.5,54.7,87,1027,4.7,40
Brownsville,25.9,-97.5,48.2,45.46,76,1025,1.28,40
Clearlake,38.96,-122.63,51.37,47.25,61,1030,2.84,0
Klaksvík,62.23,-6.59,39.2,21.92,86,1007,25.28,100
Isangel,-19.55,169.27,82.4,87.76,83,1010,10.67,75
Marabba,12.35,32.18,80.19,68.88,20,1014,14.67,100
Tías,28.96,-13.64,62.6,59.13,72,1024,8.05,40
Geraldton,-28.77,114.6,82.4,73.04,54,1006,25.28,0
Taltal,-25.4,-70.48,59.47,59.11,79,1017,2.28,59
Puerto Quijarro,-17.78,-57.77,72.73,70.66,37,1010,1.57,22
Yellowknife,62.46,-114.35,4.17,-4.68,91,999,4.7,20
Santa Ana,33.75,-117.87,67.23,62.64,39,1016,4.7,75
Marion,39.77,-86.16,31.95,25.86,80,1020,3.15,90
Hambantota,6.12,81.12,86.0,94.73,79,1012,6.93,40
Viranşehir,37.24,39.76,48.97,40.96,59,1024,8.79,99
Los Llanos de Aridane,28.66,-17.92,59.27,53.33,63,1026,9.17,40
Guerrero Negro,27.98,-114.06,55.96,51.89,52,1016,2.82,0
Saryozek,44.36,77.98,22.19,16.47,90,1034,1.23,0
Norman Wells,65.28,-126.83,-4.0,-10.8,83,1002,0.4,75
Miyako,39.64,141.95,41.23,33.28,64,1019,7.29,40
Severo-Kuril'sk,50.68,156.12,23.63,14.9,87,1004,6.69,98
Arlit,18.74,7.39,75.78,69.94,21,1017,4.27,1
Jishou,28.32,109.72,52.29,48.83,60,1024,1.79,78
Evensk,61.95,159.23,6.67,-3.44,91,1005,7.16,98
Candelaria,13.93,121.42,84.99,92.82,78,1008,7.0,100
Tiksi,71.69,128.87,-21.1,-28.8,88,1010,1.39,97
Port Elizabeth,-33.92,25.57,66.2,66.58,93,1011,8.05,90
Adrar,20.5,-10.07,54.81,45.57,40,1019,9.8,0
Abéché,13.83,20.83,82.67,67.3,15,1015,20.51,12
Acapulco de Juárez,16.86,-99.89,75.88,80.76,82,1014,4.88,0
Egvekinot,66.32,-179.17,4.62,-4.09,84,1010,4.34,0
Dzilam González,21.28,-88.93,65.23,65.37,81,1020,5.08,7
San Antonio,29.42,-98.49,42.96,37.31,75,1024,4.7,1
Vao,-22.67,167.48,77.94,80.15,88,1012,13.51,100
Mogadishu,2.04,45.34,82.4,84.58,65,1014,9.17,75
Haines Junction,60.75,-137.51,33.8,27.59,74,997,3.36,98
Hualmay,-11.1,-77.61,66.15,66.63,83,1017,5.5,100
Inhambane,-23.86,35.38,79.29,76.6,61,1021,13.87,75
Takāb,36.4,47.11,26.78,22.15,90,1027,0.11,1
North Bend,43.41,-124.22,47.05,41.2,100,1026,9.17,1
Skellefteå,64.75,20.95,33.93,28.67,98,1021,3.36,75
Kinna,57.51,12.69,40.1,33.01,93,1009,8.05,90
Eenhana,-17.47,16.33,82.6,75.09,19,1014,8.14,3
Katsuura,35.13,140.3,60.24,55.26,58,1016,6.93,75
Svetlaya,46.54,138.33,20.46,10.47,80,1018,8.14,15
Hasaki,35.73,140.83,57.38,51.17,58,1016,8.05,75
Nuuk,64.18,-51.72,21.2,8.37,67,1011,12.75,0
Manokwari,-0.87,134.08,84.22,90.34,74,1008,7.54,100
Diré,12.28,-10.97,66.58,63.95,39,1014,1.01,0
Pestovo,58.59,35.8,19.78,10.56,92,1041,7.14,0
Hermanus,-34.42,19.23,70.0,72.55,81,1013,4.0,100
Tripoli,32.88,13.19,56.14,42.96,53,1017,19.19,0
Trairi,-3.28,-39.27,79.21,80.38,75,1011,12.01,100
Anzio,41.49,12.62,54.34,46.81,82,1006,13.0,100
Wichita Falls,33.91,-98.49,44.8,38.07,52,1024,4.7,1
São João da Barra,-21.64,-41.05,74.59,71.76,87,1012,18.97,96
Kruisfontein,-34.0,24.73,75.07,74.14,70,1010,10.76,100
Daru,-9.08,143.21,80.02,86.47,75,1007,3.36,100
Luanda,-8.84,13.23,77.0,83.48,83,1013,3.36,75
Vestmannaeyjar,63.44,-20.27,41.09,27.5,83,1014,18.99,100
Escanaba,45.75,-87.06,31.71,25.23,94,1018,4.7,90
Megion,61.03,76.11,3.2,-5.64,84,1022,4.47,0
Coquimbo,-29.95,-71.34,57.2,56.52,82,1016,2.24,0
Maragogi,-9.01,-35.22,74.73,78.08,84,1014,7.23,11
Okato,-39.2,173.88,62.91,64.71,97,1011,4.0,100
Clyde River,70.47,-68.59,6.8,-3.28,84,1004,6.93,90
Cockburn Town,21.46,-71.14,79.07,80.29,77,1012,12.5,100
Lebu,-37.62,-73.65,51.96,48.7,91,1019,5.64,9
Benjamin Constant,-4.38,-70.03,77.0,87.3,100,1012,2.24,75
Lanzhou,36.06,103.79,32.0,24.93,73,1016,4.47,23
Elko,41.0,-115.5,25.5,15.24,53,1034,8.05,1
Linguère,15.4,-15.12,68.63,61.11,33,1014,8.86,100
Mareeba,-17.0,145.43,84.61,93.31,74,1008,3.36,40
Cayenne,4.93,-52.33,73.4,82.2,100,1011,1.12,0
Mlonggo,-6.53,110.7,87.8,89.71,66,1006,14.99,40
Petropavlovskoye,52.07,84.11,26.8,12.15,89,1028,17.87,100
Auki,-8.77,160.7,81.34,90.05,79,1009,2.08,97
Ballina,-28.87,153.57,81.16,80.42,57,1010,10.29,100
Port-Gentil,-0.72,8.78,75.2,79.93,100,1013,10.18,20
Muswellbrook,-32.27,150.9,77.54,69.64,20,1013,8.03,0
Jurm,36.86,70.83,40.5,35.92,70,1020,1.63,100
Riberalta,-10.98,-66.1,71.58,78.57,94,1012,0.94,83
Uruguaiana,-29.75,-57.09,64.4,60.04,82,1013,12.75,0
Requena,39.49,-1.1,39.99,35.28,84,1010,3.0,0
Blackfoot,43.19,-112.34,25.0,17.55,53,1036,3.0,18
Kamenka,51.32,42.77,20.71,10.78,83,1042,8.21,0
Wajir,1.75,40.06,84.54,84.94,57,1015,10.78,3
Eilat,29.56,34.95,68.0,62.13,56,1018,11.41,0
Marzuq,14.4,46.47,68.7,63.28,37,1021,6.17,0
Panjāb,34.39,67.02,31.75,25.27,94,1019,4.72,99
Tonantins,-2.87,-67.8,72.82,80.96,98,1011,1.19,100
Aykhal,66.0,111.5,-23.8,-33.3,82,997,4.47,75
Canutama,-6.53,-64.38,73.42,81.19,96,1011,1.79,100
Viedma,-40.81,-63.0,77.0,71.67,31,1007,7.0,0
Livramento,-3.03,-60.18,74.23,81.84,94,1011,2.24,40
Katobu,-4.94,122.53,91.18,96.35,49,1006,3.78,100
Walvis Bay,-22.96,14.51,62.01,62.29,86,1018,3.87,0
Ambon City,-3.7,128.18,91.4,98.69,66,1007,9.17,40
Bull Savanna,17.89,-77.59,73.06,77.88,88,1014,4.34,99
Maniitsoq,65.42,-52.9,22.06,12.2,87,1012,8.43,2
Coyhaique,-45.58,-72.07,60.8,55.81,51,1007,5.82,0
Sittwe,20.15,92.9,80.65,78.62,45,1014,7.74,53
Constitución,-35.33,-72.42,50.29,45.05,83,1020,7.36,0
Akonolinga,3.77,12.25,75.78,80.38,72,1014,2.06,7
Gisborne,-38.65,178.0,71.92,68.41,66,1013,12.01,100
Flin Flon,54.77,-101.86,36.66,27.3,83,1003,10.27,0
Valle de Allende,26.93,-105.4,40.21,33.75,63,1026,4.32,23
Bayan,46.08,127.4,9.09,-0.45,93,1026,6.4,2
Port Pirie,-33.18,138.02,68.0,60.4,49,1019,12.75,0
Ayan,56.45,138.17,5.49,-8.03,81,1008,12.88,59
Marawi,8.0,124.29,82.99,93.61,83,1009,1.99,95
Salinas,36.68,-121.66,56.62,50.34,37,1022,4.47,1
Ketchikan,55.34,-131.65,43.95,36.59,89,1010,9.44,100
Bubaque,11.28,-15.83,80.56,83.82,62,1013,4.63,0
Labuhan,-6.88,112.21,85.75,84.24,72,1005,21.77,96
San Benito,36.62,-121.08,51.28,44.87,45,1023,4.7,1
Abaza,52.66,90.09,22.08,12.07,94,1026,8.99,100
Camiri,-20.05,-63.52,63.55,63.57,74,1013,2.8,29
Cam Ranh,11.92,109.16,78.8,75.31,61,1012,14.99,75
Takoradze,4.88,-1.76,79.29,85.35,84,1013,6.62,29
Homocea,46.13,27.23,26.83,20.44,92,1021,3.36,90
Yar-Sale,66.83,70.83,-1.55,-12.6,85,1023,8.1,45
Ormara,25.21,64.64,77.56,78.91,60,1017,5.19,0
Nanortalik,60.14,-45.24,30.96,21.18,89,1007,10.07,100
Bowen,-20.02,148.23,89.6,92.57,59,1008,11.41,17
Leshukonskoye,64.9,45.76,26.83,17.56,96,1028,8.68,100
Aswān,24.09,32.91,79.9,76.57,21,1019,0.83,0
Bukama,-9.2,25.85,78.31,84.9,78,1015,2.64,53
Pychas,56.5,52.44,12.99,6.01,82,1037,1.99,0
Broome,42.25,-75.83,24.13,14.63,85,1006,8.05,90
Samarai,-10.62,150.67,84.13,91.94,76,1008,5.26,100
Yantal',56.85,105.25,16.56,3.16,92,1010,14.09,100
Luau,-10.71,22.22,70.7,75.79,92,1015,3.0,100
Catuday,16.29,119.81,84.2,89.01,73,1009,9.42,100
Ubinskoye,55.31,79.68,14.61,3.06,97,1020,10.74,100
Yanam,16.73,82.22,80.6,77.0,57,1016,14.99,0
Stann Creek Town,16.97,-88.23,69.26,72.82,90,1019,4.0,61
Kamariótissa,40.48,25.47,43.63,40.89,100,1012,2.24,20
Guasdualito,7.24,-70.73,71.19,76.84,96,1013,3.51,66
Kuliyapitiya,7.47,80.04,86.0,96.13,74,1012,2.24,75
Boddam,57.47,-1.78,42.53,34.65,93,988,10.29,75
Yulara,-25.24,130.99,91.4,80.74,10,1014,11.41,0
Touros,-5.2,-35.46,71.6,78.17,100,1012,3.36,40
Richards Bay,-28.78,32.04,79.97,76.95,59,1020,14.25,12
Kandalaksha,67.16,32.41,31.51,22.46,25,1001,4.85,100
Dongsheng,39.82,109.98,20.52,10.27,93,1027,9.13,73
Camacha,33.08,-16.33,62.6,57.06,77,1026,12.75,40
Husavik,66.04,-17.34,23.0,15.13,79,1013,4.7,0
Greensburg,40.3,-79.54,30.18,22.82,74,1013,4.7,90
Sisimiut,66.94,-53.67,23.07,10.65,89,1011,13.24,100
Slave Lake,55.28,-114.77,42.8,29.41,52,1008,16.11,90
Esperance,-33.87,121.9,87.8,84.31,31,1014,8.05,0
Churapcha,62.0,132.43,-20.34,-29.61,87,1008,4.18,95
Kozhva,65.11,57.05,31.98,25.65,99,1024,4.83,100
Lorengau,-2.02,147.27,85.41,91.49,67,1008,5.73,99
Nome,64.5,-165.41,2.98,-4.05,71,997,1.01,0
Mahanoro,-19.9,48.8,78.82,81.5,80,1016,10.76,76
Vila Franca do Campo,37.72,-25.43,57.2,56.1,71,1030,1.12,75
Khani,41.96,42.96,46.4,27.19,45,1021,26.4,0
Bambous Virieux,-20.34,57.76,84.58,87.73,62,1015,8.05,40
Nakanojōmachi,36.58,138.85,46.36,39.96,39,1017,3.0,8
Ankazoabo,-22.28,44.52,87.33,87.22,45,1014,8.34,0
Beloha,-25.17,45.05,78.39,70.36,44,1020,16.8,4
Warrington,53.39,-2.58,39.25,28.45,87,998,13.87,100
Weener,53.17,7.35,35.37,28.65,95,1002,6.15,1
Santa Rosa,14.31,121.11,88.43,95.05,70,1009,9.17,40
Bongandanga,1.5,21.05,80.58,86.61,72,1013,3.47,100
Vila Velha,-20.33,-40.29,77.0,79.27,78,1013,9.17,40
Wasilla,61.58,-149.44,31.32,23.11,67,979,5.99,100
Deputatsky,69.3,139.9,-28.28,-38.18,85,1011,5.12,72
Serebryansk,49.69,83.29,5.0,-4.09,84,1033,5.06,75
Santa Marta,11.24,-74.2,81.0,87.8,76,1009,4.0,100
Muisne,0.6,-80.03,74.82,77.34,88,1012,10.0,100
Warri,5.52,5.75,79.56,89.74,87,1013,0.65,0
Fairbanks,64.84,-147.72,2.66,-6.05,84,986,4.21,1
Maltahöhe,-24.83,16.98,74.79,67.3,20,1015,6.71,0
Dwārka,22.24,68.97,84.34,82.76,40,1016,6.93,55
Iquique,-20.22,-70.14,66.2,63.93,63,1017,5.82,75
Barra de Tecoanapa,16.52,-98.75,75.16,80.33,83,1015,4.07,2
Clearwater,27.97,-82.8,55.98,48.6,62,1016,10.29,0
Villarrica,-25.75,-56.43,60.93,61.29,84,1013,2.71,0
Henties Bay,-22.12,14.28,62.01,62.65,86,1018,3.24,29
Intipucá,13.2,-88.05,72.72,74.93,75,1014,4.94,0
Dongying,37.46,118.49,36.61,30.29,56,1029,2.77,88
Saint-François,46.42,3.91,40.05,36.23,93,996,2.24,90
Bathurst,-33.42,149.58,68.0,64.53,35,1015,1.99,0
Suşehri,40.16,38.09,38.71,32.07,75,1020,5.3,94
Chicama,-7.84,-79.15,68.0,70.9,84,1016,2.73,100
Dukhovshchina,55.19,32.41,18.52,7.86,91,1037,9.46,0
Nantucket,41.28,-70.1,35.78,25.07,69,1003,11.41,75
Avera,33.19,-82.53,34.79,25.66,80,1016,9.17,1
Awjilah,29.11,21.29,57.09,52.09,38,1022,2.46,0
Hay River,60.82,-115.8,14.92,8.6,85,1001,1.12,0
Nieuw Amsterdam,5.88,-55.08,75.99,81.73,92,1009,6.67,100
Khovd,48.01,91.64,7.47,0.18,85,1032,2.08,0
Yerbogachën,61.28,108.01,3.2,-5.31,94,1002,4.07,100
Pergine Valsugana,46.06,11.24,29.84,22.42,73,999,4.7,90
Uva,56.99,52.19,12.99,6.01,82,1037,1.99,0
Salalah,17.02,54.09,84.2,86.41,45,1018,2.24,0
Srikakulam,18.3,83.9,83.57,82.06,39,1016,5.99,0
Itarema,-2.92,-39.92,79.09,78.55,77,1011,15.66,100
Natal,-5.79,-35.21,72.54,77.25,94,1012,5.82,75
Laas,46.62,10.7,30.81,22.89,92,1001,6.93,90
Ixtapa,20.7,-105.2,71.01,76.86,96,1012,3.0,62
Dunedin,-45.87,170.5,57.99,56.89,74,1001,1.99,88
Safaga,26.73,33.94,62.6,61.54,82,1018,5.82,0
Antalaha,-14.9,50.28,83.32,86.02,58,1014,6.15,44
Baker City,44.77,-117.83,29.21,21.79,85,1035,5.28,54
Maamba,-17.37,27.15,74.62,75.49,81,1016,10.6,100
Nuevitas,21.55,-77.26,73.4,78.57,94,1013,5.82,5
Abū Zabad,12.35,29.25,81.75,64.67,16,1015,23.76,100
Carutapera,-1.2,-46.02,76.42,83.23,89,1010,4.21,78
Piaçabuçu,-10.41,-36.43,75.04,78.57,83,1014,6.85,83
Benghazi,32.12,20.07,62.87,54.91,43,1020,10.18,0
Kloulklubed,7.04,134.26,84.2,89.38,74,1010,9.17,75
Zarumilla,-3.5,-80.27,73.44,79.29,83,1014,1.39,100
Okara,30.81,73.45,79.21,72.55,21,1017,6.55,16
Bandarbeyla,9.49,50.81,78.08,73.24,66,1016,18.59,77
Hobyo,5.35,48.53,80.71,80.19,66,1016,12.97,64
Assiut,27.18,31.18,57.2,53.46,71,1020,5.82,0
Kuril'sk,45.23,147.88,31.68,17.22,90,1010,18.61,99
Saint-Pierre,-21.34,55.48,81.57,85.08,70,1014,8.05,0
Aksha,50.28,113.29,13.62,5.86,82,1017,3.42,79
Tayshet,55.93,98.0,17.92,3.42,93,1014,16.31,100
Naze,28.37,129.48,68.0,59.97,64,1019,17.22,75
Lubbock,33.6,-101.83,39.99,33.76,42,1026,1.99,46
Lubawa,53.5,19.75,29.32,12.52,88,1015,22.12,99
Tual,-5.67,132.75,85.69,92.21,61,1008,2.57,26
Sibolga,1.74,98.78,84.69,91.17,67,1009,4.36,100
Talas,38.69,35.55,37.4,31.41,69,1017,3.36,75
Rehoboth,-23.32,17.08,76.08,70.39,19,1015,3.47,0
Ambulu,-8.35,113.61,88.86,96.06,61,1005,4.21,31
Upata,8.01,-62.4,68.45,73.15,98,1013,3.36,100
Wenzhou,28.0,120.67,59.0,55.18,54,1013,3.67,81
Kargil,34.57,76.1,30.06,23.45,93,1019,4.47,100
Dothan,31.22,-85.39,37.04,32.68,77,1019,1.01,0
San Patricio,28.02,-97.52,47.59,42.66,75,1025,4.83,20
